
Unit 0 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 0.13232421875)
Unit 1 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 1.254638671875)
Unit 2 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 0.16748046875)
Unit 3 -> (tensor(0.7881, device='cuda:0', dtype=torch.float16), 1.7294921875)
Unit 4 -> (tensor(0.9341, device='cuda:0', dtype=torch.float16), 1.6611328125)
Unit 5 -> (tensor(0.9248, device='cuda:0', dtype=torch.float16), 1.908203125)
Unit 6 -> (tensor(0.9287, device='cuda:0', dtype=torch.float16), 0.15234375)
Unit 7 -> (tensor(0.9375, device='cuda:0', dtype=torch.float16), 0.06396484375)
Unit 8 -> (tensor(0.9351, device='cuda:0', dtype=torch.float16), 0.04541015625)
Unit 9 -> (tensor(0.9585, device='cuda:0', dtype=torch.float16), 0.0400390625)
Unit 10 -> (tensor(0.9775, device='cuda:0', dtype=torch.float16), 1.94921875)
Unit 11 -> (tensor(0.9487, device='cuda:0', dtype=torch.float16), 0.1416015625)
Unit 12 -> (tensor(0.9517, device='cuda:0', dtype=torch.float16), 1.9697265625)
Unit 13 -> (tensor(0.9473, device='cuda:0', dtype=torch.float16), 0.107421875)
Unit 14 -> (tensor(0.9072, device='cuda:0', dtype=torch.float16), 0.02587890625)
Unit 15 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 0.06689453125)
Unit 16 -> (tensor(0.9917, device='cuda:0', dtype=torch.float16), 1.96142578125)
Unit 17 -> (tensor(0.9800, device='cuda:0', dtype=torch.float16), 0.16552734375)
Unit 18 -> (tensor(0.9517, device='cuda:0', dtype=torch.float16), 1.96142578125)
Unit 19 -> (tensor(0.9878, device='cuda:0', dtype=torch.float16), 1.85693359375)
Unit 20 -> (tensor(0.9971, device='cuda:0', dtype=torch.float16), 0.4697265625)
Unit 21 -> (tensor(0.9863, device='cuda:0', dtype=torch.float16), 0.17138671875)
Unit 22 -> (tensor(0.9595, device='cuda:0', dtype=torch.float16), 1.94189453125)
Unit 23 -> (tensor(0.9351, device='cuda:0', dtype=torch.float16), 1.9521484375)
Unit 24 -> (tensor(0.9644, device='cuda:0', dtype=torch.float16), 1.94580078125)
Unit 25 -> (tensor(0.8838, device='cuda:0', dtype=torch.float16), 1.9521484375)
Unit 26 -> (tensor(0.7554, device='cuda:0', dtype=torch.float16), 0.8502197265625)
Unit 27 -> (tensor(0.9707, device='cuda:0', dtype=torch.float16), 1.9521484375)
Unit 28 -> (tensor(0.9370, device='cuda:0', dtype=torch.float16), 1.89892578125)
Unit 29 -> (tensor(0.7881, device='cuda:0', dtype=torch.float16), 1.82080078125)
