Unit 0 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 0.05615234375)
Unit 1 -> (tensor(0.9878, device='cuda:0', dtype=torch.float16), 0.072265625)
Unit 2 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.0830078125)
Unit 3 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 0.228515625)
Unit 4 -> (tensor(0.9858, device='cuda:0', dtype=torch.float16), 1.9169921875)
Unit 5 -> (tensor(0.9829, device='cuda:0', dtype=torch.float16), 0.03515625)
Unit 6 -> (tensor(0.9883, device='cuda:0', dtype=torch.float16), 1.884765625)
Unit 7 -> (tensor(0.9644, device='cuda:0', dtype=torch.float16), 0.01171875)
Unit 8 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 0.0126953125)
Unit 9 -> (tensor(0.9199, device='cuda:0', dtype=torch.float16), 0.03369140625)
Unit 10 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 0.041015625)
Unit 11 -> (tensor(0.1499, device='cuda:0', dtype=torch.float16), 0.93304443359375)
Unit 12 -> (tensor(0.6172, device='cuda:0', dtype=torch.float16), 0.9748077392578125)
Unit 13 -> (tensor(0.9243, device='cuda:0', dtype=torch.float16), 1.982421875)
Unit 14 -> (tensor(0.9707, device='cuda:0', dtype=torch.float16), 1.98291015625)
Unit 15 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 16 -> (tensor(0.9980, device='cuda:0', dtype=torch.float16), 1.66064453125)
Unit 17 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 18 -> (tensor(0.9766, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 19 -> (tensor(0.9839, device='cuda:0', dtype=torch.float16), 0.03173828125)
Unit 20 -> (tensor(0.9966, device='cuda:0', dtype=torch.float16), 1.8603515625)
Unit 21 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 0.33984375)
Unit 22 -> (tensor(0.9614, device='cuda:0', dtype=torch.float16), 0.021484375)
Unit 23 -> (tensor(0.9731, device='cuda:0', dtype=torch.float16), 0.03369140625)
Unit 24 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 1.8447265625)
Unit 25 -> (tensor(0.3528, device='cuda:0', dtype=torch.float16), 0.567138671875)
Unit 26 -> (tensor(0.8394, device='cuda:0', dtype=torch.float16), 1.8720703125)
Unit 27 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 0.03076171875)
Unit 28 -> (tensor(0.4182, device='cuda:0', dtype=torch.float16), 1.62109375)
Unit 29 -> (tensor(0.9580, device='cuda:0', dtype=torch.float16), 0.0224609375)
Unit 30 -> (tensor(0.9458, device='cuda:0', dtype=torch.float16), 1.8974609375)
Unit 31 -> (tensor(0.9888, device='cuda:0', dtype=torch.float16), 1.94384765625)
Unit 32 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 1.7919921875)
Unit 33 -> (tensor(0.9717, device='cuda:0', dtype=torch.float16), 1.96337890625)
Unit 34 -> (tensor(0.9966, device='cuda:0', dtype=torch.float16), 1.1435546875)
Unit 35 -> (tensor(0.9893, device='cuda:0', dtype=torch.float16), 0.93084716796875)
Unit 36 -> (tensor(0.9614, device='cuda:0', dtype=torch.float16), 0.01123046875)
Unit 37 -> (tensor(0.9922, device='cuda:0', dtype=torch.float16), 0.02880859375)
Unit 38 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 1.0148239135742188)
Unit 39 -> (tensor(0.9653, device='cuda:0', dtype=torch.float16), 1.982421875)
Unit 40 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 0.05078125)
Unit 41 -> (tensor(0.9902, device='cuda:0', dtype=torch.float16), 0.09228515625)
Unit 42 -> (tensor(0.9653, device='cuda:0', dtype=torch.float16), 0.14892578125)
Unit 43 -> (tensor(0.9917, device='cuda:0', dtype=torch.float16), 1.2086181640625)
Unit 44 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 0.060546875)
Unit 45 -> (tensor(0.9688, device='cuda:0', dtype=torch.float16), 1.9326171875)
Unit 46 -> (tensor(0.9951, device='cuda:0', dtype=torch.float16), 1.546875)
Unit 47 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 0.04931640625)
Unit 48 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 0.017578125)
Unit 49 -> (tensor(0.9844, device='cuda:0', dtype=torch.float16), 1.8896484375)
Unit 50 -> (tensor(0.9287, device='cuda:0', dtype=torch.float16), 0.703369140625)
Unit 51 -> (tensor(0.8833, device='cuda:0', dtype=torch.float16), 1.9833984375)
Unit 52 -> (tensor(0.9971, device='cuda:0', dtype=torch.float16), 0.12548828125)
Unit 53 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 54 -> (tensor(0.9004, device='cuda:0', dtype=torch.float16), 0.068359375)
Unit 55 -> (tensor(0.9790, device='cuda:0', dtype=torch.float16), 1.9287109375)
Unit 56 -> (tensor(0.9512, device='cuda:0', dtype=torch.float16), 0.013671875)
Unit 57 -> (tensor(0.9780, device='cuda:0', dtype=torch.float16), 0.02099609375)
Unit 58 -> (tensor(0.9824, device='cuda:0', dtype=torch.float16), 0.2841796875)
Unit 59 -> (tensor(0.9844, device='cuda:0', dtype=torch.float16), 0.05859375)
